races_round,races_year,BOT,HAM,delta
11,2019,98902.26785714286,98295.96875,606.2991071428551
11,2020,96654.27777777778,95827.35,826.9277777777752
11,2021,,106941.92857142857,
12,2017,115892.63636363635,115518.63636363635,374.0
12,2018,84091.81428571428,83377.52857142857,714.2857142857101
12,2019,83129.33333333333,81482.8,1646.5333333333256
12,2020,82157.87878787878,81770.12121212122,387.7575757575687
12,2021,229485.0,209672.0,19813.0
13,2017,85599.67924528301,85515.32075471699,84.35849056602456
13,2018,115410.93181818182,114216.75,1194.1818181818235
13,2019,114506.70454545454,114242.97727272728,263.7272727272648
13,2020,84416.07936507936,84324.28571428571,91.7936507936538
13,2021,75859.09722222222,75365.65277777778,493.444444444438
14,2017,127799.03448275862,127647.31034482758,151.72413793104351
14,2018,87331.1320754717,87065.7358490566,265.39622641510505
14,2019,85424.52830188679,86072.90566037736,-648.3773584905721
14,2020,108623.28070175438,105850.22413793104,2773.0565638233384
14,2021,92816.71698113208,87689.4,5127.316981132084
15,2017,97451.98214285714,96679.64285714286,772.3392857142899
15,2018,110221.98360655738,109370.67213114754,851.3114754098351
15,2019,116717.80327868852,116693.03278688523,24.77049180328322
15,2020,126442.01754385963,126096.75438596492,345.26315789471846
15,2021,103934.60377358492,102660.39622641508,1274.207547169848
16,2017,99278.75471698112,99079.1320754717,199.62264150941337
16,2018,99013.69811320756,98965.679245283,48.01886792456207
16,2019,106090.96226415096,106018.71698113208,72.24528301888495
16,2020,63109.22988505747,,
16,2021,94208.6724137931,94929.56896551725,-720.896551724145
17,2017,101177.82142857143,100553.41071428572,624.4107142857101
17,2018,99056.24528301888,98812.49056603774,243.75471698114416
17,2019,94360.67307692308,94627.17307692308,-266.5
17,2020,105538.56363636364,105582.90909090907,-44.345454545429675
17,2021,102797.85714285714,101390.80357142857,1407.0535714285797
18,2017,81777.88732394367,83363.94285714286,-1586.0555331991927
18,2018,101489.05357142857,101089.01785714286,400.0357142857101
18,2019,81865.59154929577,81815.54929577465,50.04225352112553
18,2021,86261.14492753622,83600.57746478873,2660.5674627474946
19,2017,77310.19718309859,77348.30985915494,-38.1126760563493
19,2018,84592.14285714286,84332.23943661971,259.9034205231437
19,2019,100636.66071428572,100710.73214285714,-74.07142857142026
19,2021,78259.5352112676,78068.32394366198,191.21126760562765
20,2017,102801.12727272727,102872.0181818182,-70.8909090909292
20,2018,73971.95774647887,73648.81690140846,323.14084507041844
20,2019,74513.3137254902,78884.74647887323,-4371.4327533830365
20,2021,90838.29166666669,88920.54385964913,1917.7478070175566
21,2018,109606.16363636364,108734.2181818182,871.9454545454355
21,2019,103456.25454545456,102649.36363636365,806.8909090909146
21,2021,152052.98,151502.36,550.6200000000244
22,2021,93531.1724137931,93441.39655172414,89.77586206895649
