round,year,code,milliseconds
9,2021,HAM,71563.30985915494
10,2017,BOT,96107.70588235294
10,2017,HAM,95831.96078431372
10,2018,BOT,101128.21153846153
10,2018,HAM,101000.92307692308
10,2019,BOT,94103.46153846153
10,2019,HAM,93624.07692307692
10,2020,BOT,106421.96226415095
10,2020,HAM,106850.81132075471
10,2021,BOT,136815.5576923077
10,2021,HAM,136601.61538461538
11,2017,BOT,85702.5
11,2017,HAM,85708.54285714286
11,2018,BOT,82901.19402985074
11,2018,HAM,82833.50746268657
11,2019,HAM,98295.96875
11,2020,HAM,95827.35
11,2021,HAM,106941.92857142857
12,2017,BOT,115892.63636363637
12,2017,HAM,115518.63636363637
12,2018,BOT,84091.81428571428
12,2018,HAM,83377.52857142857
12,2019,BOT,83129.33333333333
12,2019,HAM,81482.8
12,2020,BOT,82157.87878787878
12,2020,HAM,81770.12121212122
12,2021,BOT,229485.0
12,2021,HAM,209672.0
13,2017,BOT,85599.67924528301
13,2017,HAM,85515.32075471699
13,2018,BOT,115410.93181818182
13,2018,HAM,114216.75
13,2019,BOT,114506.70454545454
13,2019,HAM,114242.97727272728
13,2020,BOT,84416.07936507936
13,2020,HAM,84324.28571428571
13,2021,BOT,75859.09722222222
13,2021,HAM,75365.65277777778
14,2017,BOT,127799.03448275862
14,2017,HAM,127647.31034482758
14,2018,BOT,87331.1320754717
14,2018,HAM,87065.7358490566
14,2019,BOT,85424.52830188679
14,2019,HAM,86072.90566037736
14,2020,BOT,108623.28070175438
14,2020,HAM,105850.22413793103
14,2021,BOT,92816.71698113208
15,2017,BOT,97451.98214285714
15,2017,HAM,96679.64285714286
15,2018,BOT,110221.98360655738
15,2018,HAM,109370.67213114754
15,2019,BOT,116717.80327868853
15,2019,HAM,116693.03278688525
15,2020,BOT,126442.01754385965
15,2020,HAM,126096.75438596492
15,2021,BOT,103934.60377358491
15,2021,HAM,102660.39622641509
16,2017,BOT,99278.75471698113
16,2017,HAM,99079.1320754717
16,2018,BOT,99013.69811320755
16,2018,HAM,98965.67924528301
16,2019,BOT,106090.96226415095
16,2019,HAM,106018.71698113208
16,2020,BOT,63109.22988505747
16,2021,BOT,94208.6724137931
16,2021,HAM,94929.56896551725
17,2017,BOT,101177.82142857143
17,2017,HAM,100553.41071428571
17,2018,BOT,99056.24528301887
17,2018,HAM,98812.49056603774
17,2019,BOT,94360.67307692308
17,2019,HAM,94627.17307692308
17,2020,BOT,105538.56363636363
17,2020,HAM,105582.90909090909
17,2021,BOT,102797.85714285714
17,2021,HAM,101390.80357142857
18,2017,BOT,81777.88732394367
18,2017,HAM,83363.94285714286
18,2018,BOT,101489.05357142857
18,2018,HAM,101089.01785714286
18,2019,BOT,81865.59154929577
18,2019,HAM,81815.54929577465
18,2021,BOT,86261.14492753622
18,2021,HAM,83600.57746478873
19,2017,BOT,77310.19718309859
19,2017,HAM,77348.30985915494
19,2018,BOT,84592.14285714286
19,2018,HAM,84332.23943661971
19,2019,BOT,100636.66071428571
19,2019,HAM,100710.73214285714
19,2021,BOT,78259.5352112676
19,2021,HAM,78068.32394366198
20,2017,BOT,102801.12727272727
20,2017,HAM,102872.01818181819
20,2018,BOT,73971.95774647887
20,2018,HAM,73648.81690140846
20,2019,HAM,78884.74647887323
20,2021,HAM,88920.54385964913
21,2018,BOT,109606.16363636364
21,2018,HAM,108734.21818181819
21,2019,BOT,103456.25454545455
21,2019,HAM,102649.36363636363
21,2021,BOT,152052.98
21,2021,HAM,151502.36
22,2021,BOT,93531.1724137931
22,2021,HAM,93441.39655172414
