duration,stop,year,round,name,code
22.406,1,2020,17,Abu Dhabi Grand Prix,HAM
24.839,1,2021,1,Bahrain Grand Prix,HAM
24.767,1,2021,1,Bahrain Grand Prix,VER
24.076,2,2021,1,Bahrain Grand Prix,HAM
23.848,2,2021,1,Bahrain Grand Prix,VER
29.809,1,2021,2,Emilia Romagna Grand Prix,VER
32.112,1,2021,2,Emilia Romagna Grand Prix,HAM
38.198,2,2021,2,Emilia Romagna Grand Prix,HAM
27:01.361,2,2021,2,Emilia Romagna Grand Prix,VER
24:54.731,3,2021,2,Emilia Romagna Grand Prix,HAM
1:05.870,4,2021,2,Emilia Romagna Grand Prix,HAM
22.426,1,2021,3,Portuguese Grand Prix,HAM
22.718,1,2021,3,Portuguese Grand Prix,VER
22.164,2,2021,3,Portuguese Grand Prix,HAM
22.104,2,2021,3,Portuguese Grand Prix,VER
26.743,3,2021,3,Portuguese Grand Prix,VER
26.907,3,2021,3,Portuguese Grand Prix,HAM
26.319,4,2021,3,Portuguese Grand Prix,VER
23.565,1,2021,4,Spanish Grand Prix,VER
22.22,1,2021,4,Spanish Grand Prix,HAM
22.078,2,2021,4,Spanish Grand Prix,HAM
21.592,2,2021,4,Spanish Grand Prix,VER
23.783,1,2021,5,Monaco Grand Prix,HAM
23.746,1,2021,5,Monaco Grand Prix,VER
24.244,2,2021,5,Monaco Grand Prix,HAM
22.47,1,2021,6,Azerbaijan Grand Prix,HAM
19.769,1,2021,6,Azerbaijan Grand Prix,VER
15.432,2,2021,6,Azerbaijan Grand Prix,HAM
33:20.923,3,2021,6,Azerbaijan Grand Prix,HAM
29.803,1,2021,7,French Grand Prix,VER
30.263,1,2021,7,French Grand Prix,HAM
30.123,2,2021,7,French Grand Prix,VER
21.219,1,2021,8,Styrian Grand Prix,HAM
20.936,1,2021,8,Styrian Grand Prix,VER
21.64,2,2021,8,Styrian Grand Prix,HAM
21.005,1,2021,9,Austrian Grand Prix,HAM
21.09,1,2021,9,Austrian Grand Prix,VER
21.421,2,2021,9,Austrian Grand Prix,HAM
21.236,2,2021,9,Austrian Grand Prix,VER
34:08.376,1,2021,10,British Grand Prix,HAM
40.266,2,2021,10,British Grand Prix,HAM
22.569,1,2021,11,Hungarian Grand Prix,VER
